nome;ano;sexo;n
Irituia (PA);2022;Mulheres;961
Itaituba (PA);2022;Total;9732
Itaituba (PA);2022;Homens;4829
Itaituba (PA);2022;Mulheres;4902
Itupiranga (PA);2022;Total;1778
Itupiranga (PA);2022;Homens;953
Itupiranga (PA);2022;Mulheres;825
Jacareacanga (PA);2022;Total;2357
Jacareacanga (PA);2022;Homens;1253
Jacareacanga (PA);2022;Mulheres;1104
Jacundá (PA);2022;Total;1607
Jacundá (PA);2022;Homens;693
Jacundá (PA);2022;Mulheres;913
Juruti (PA);2022;Total;2990
Juruti (PA);2022;Homens;1520
Juruti (PA);2022;Mulheres;1470
Limoeiro do Ajuru (PA);2022;Total;868
Limoeiro do Ajuru (PA);2022;Homens;376
Limoeiro do Ajuru (PA);2022;Mulheres;492
Mãe do Rio (PA);2022;Total;1419
Mãe do Rio (PA);2022;Homens;540
Mãe do Rio (PA);2022;Mulheres;880
Magalhães Barata (PA);2022;Total;1068
Magalhães Barata (PA);2022;Homens;539
Magalhães Barata (PA);2022;Mulheres;530
Marabá (PA);2022;Total;17306
Marabá (PA);2022;Homens;8292
Marabá (PA);2022;Mulheres;9014
Maracanã (PA);2022;Total;1740
Maracanã (PA);2022;Homens;857
Maracanã (PA);2022;Mulheres;883
Marapanim (PA);2022;Total;1451
Marapanim (PA);2022;Homens;746
Marapanim (PA);2022;Mulheres;705
Marituba (PA);2022;Total;11967
Marituba (PA);2022;Homens;6063
Marituba (PA);2022;Mulheres;5904
Medicilândia (PA);2022;Total;2071
Medicilândia (PA);2022;Homens;1083
Medicilândia (PA);2022;Mulheres;988
Melgaço (PA);2022;Total;619
Melgaço (PA);2022;Homens;309
Melgaço (PA);2022;Mulheres;309
Mocajuba (PA);2022;Total;1167
Mocajuba (PA);2022;Homens;631
Mocajuba (PA);2022;Mulheres;536
Moju (PA);2022;Total;3007
Moju (PA);2022;Homens;1507
Moju (PA);2022;Mulheres;1500
Mojuí dos Campos (PA);2022;Total;1477
Mojuí dos Campos (PA);2022;Homens;717
Mojuí dos Campos (PA);2022;Mulheres;761
Monte Alegre (PA);2022;Total;2907
Monte Alegre (PA);2022;Homens;1247
